Magnetic core,Overall size (nm),B0 (T),Fe/cell (pg),relaxivity,target
1.0,0.08783783783783784,0.15773353751914243,0.04280468133301302,0.5248782918695136,0
1.0,0.05405405405405406,0.6477794793261868,0.01863609843154752,1.0,1
1.0,0.0,0.6477794793261868,0.013007516216494494,0.9233334611108982,1
1.0,0.05405405405405406,0.6477794793261868,0.015341318598345748,0.8907501820830299,1
1.0,0.05405405405405406,0.6477794793261868,0.014448982393520268,0.11833480277532869,1
0.0,0.3560810810810811,0.38744257274119454,0.003397741702989326,0.6090006516655806,0
0.0,1.0,0.15773353751914243,0.032858564711535164,0.6053589910683482,0
0.0,1.0,0.15773353751914243,0.032858564711535164,0.6053589910683482,0
0.0,0.3608108108108108,0.15773353751914243,0.01685142602189656,0.2553762410395983,0
0.0,0.6216216216216216,1.0,0.04314102344098569,0.3657760570399049,0
0.0,0.49324324324324326,0.38744257274119454,1.0,0.8188753018744969,0
1.0,0.5121621621621621,0.004594180704441045,0.02385283316745032,0.0,0
0.0,0.595472972972973,1.0,0.04629852078113738,0.3657760570399049,0
1.0,0.02702702702702703,0.004594180704441045,0.03401173765315579,0.2168513052478246,1
0.0,0.04391891891891892,0.38744257274119454,0.045680749562412054,0.031126614788975347,0
0.0,0.42702702702702705,0.0,0.0,0.08843485260857899,0
